Domain,Requested At,Final URL,HTTP Status,Response,Challenge Type,x402 Compliant,x402 Payable in Probe,Redirects,Attempts,Duration ms,Error,Response Evidence,Response Sample SHA-256,Baseline HTTP Status,Baseline Response,Baseline Gating Vendor,AI Licensing Status (baseline),AI Counterparties (baseline),TollBit Rate HTTP Status,TollBit Rate Response
hollywoodreporter.com,2026-08-19T17:29:28.428Z,https://tollbit.hollywoodreporter.com/,402,Returned 402,tollbit,false,false,1,1,384,,"[{""message"":""You are not authorized to access this content without a valid TollBit Token. Please follow this URL to find out more."",""url"":""https://tollbit.dev""}]",ad3a878239906aa8ba4180bf54ec755c4668335b2480141a1a090b7872192823,402,Charges (402),TollBit,Suing,Google (Penske),403,"{""detail"":""The content provider has disallowed access to this page."",""instance"":""/dev/v2/rates/https://hollywoodreporter.com/"",""status"":403,""title"":""Forbidden"",""type"":""about:blank""}"
people.com,2026-08-19T17:29:28.640Z,https://people.com/,402,Returned 402,manual-contact,false,false,0,1,92,,"<p> If you are a reader experiencing an access issue, please contact <a href=""mailto:support@people.inc"">support@people.inc</a>. <br> To help us troubleshoot more quickly, you may include your IP address. <br> You can find it by visiting <a href=""https://icanhazip.com"" target=""_blank"" rel=""noopener noreferrer"">icanhazip.com</a> or <a href=""https://www.whatismyip.com"" target=""_blank"" rel=""noopener noreferrer"">whatismyip.com</a>. </p> <p> If you would like to access our content for licensing, please contact <a href=""mailto:contentlicensing@people.inc"">contentlicensing@people.inc</a>. </p>",ca9bc48f27d79d3db3443542466ffda1267c584e3888b839f66c167cf0bea61e,403,Blocks AI crawler,,Licensed,OpenAI (Dotdash Meredith),,
fastcompany.com,2026-08-19T17:29:29.249Z,https://tollbit.fastcompany.com/,402,Returned 402,tollbit,false,false,1,1,408,,"[{""message"":""You are not authorized to access this content without a valid TollBit Token. Please follow this URL to find out more."",""url"":""https://tollbit.dev""}]",ad3a878239906aa8ba4180bf54ec755c4668335b2480141a1a090b7872192823,403,Blocks AI crawler,,Licensed,ProRata,,
allrecipes.com,2026-08-19T17:29:29.665Z,https://allrecipes.com/,402,Returned 402,manual-contact,false,false,0,1,103,,"<p> If you are a reader experiencing an access issue, please contact <a href=""mailto:support@people.inc"">support@people.inc</a>. <br> To help us troubleshoot more quickly, you may include your IP address. <br> You can find it by visiting <a href=""https://icanhazip.com"" target=""_blank"" rel=""noopener noreferrer"">icanhazip.com</a> or <a href=""https://www.whatismyip.com"" target=""_blank"" rel=""noopener noreferrer"">whatismyip.com</a>. </p> <p> If you would like to access our content for licensing, please contact <a href=""mailto:contentlicensing@people.inc"">contentlicensing@people.inc</a>. </p>",ca9bc48f27d79d3db3443542466ffda1267c584e3888b839f66c167cf0bea61e,403,Blocks AI crawler,,Licensed,OpenAI (Dotdash Meredith),,
seriouseats.com,2026-08-19T17:29:29.768Z,https://seriouseats.com/,402,Returned 402,manual-contact,false,false,0,1,109,,"<p> If you are a reader experiencing an access issue, please contact <a href=""mailto:support@people.inc"">support@people.inc</a>. <br> To help us troubleshoot more quickly, you may include your IP address. <br> You can find it by visiting <a href=""https://icanhazip.com"" target=""_blank"" rel=""noopener noreferrer"">icanhazip.com</a> or <a href=""https://www.whatismyip.com"" target=""_blank"" rel=""noopener noreferrer"">whatismyip.com</a>. </p> <p> If you would like to access our content for licensing, please contact <a href=""mailto:contentlicensing@people.inc"">contentlicensing@people.inc</a>. </p>",ca9bc48f27d79d3db3443542466ffda1267c584e3888b839f66c167cf0bea61e,403,Blocks AI crawler,,Licensed,OpenAI (Dotdash Meredith),,
usatoday.com,2026-08-19T17:29:29.989Z,https://usatoday.com/,402,Returned 402,tollbit,false,false,0,1,325,,"<h1>Access Restricted</h1> <p>Access to this content is restricted.</p> [{""message"":""You are not authorized to access this content without a valid TollBit Token. Please follow this URL to find out more."",""url"":""https://tollbit.dev""}]",71186e05e4740a422e8b6f1c88d39a0a52a1ee0974eefcf1f17c444bd2810cbe,402,Charges (402),TollBit,Licensed,Perplexity; Meta; Microsoft (Gannett),403,"{""detail"":""The content provider has disallowed access to this page."",""instance"":""/dev/v2/rates/https://usatoday.com/"",""status"":403,""title"":""Forbidden"",""type"":""about:blank""}"
rollingstone.com,2026-08-19T17:29:30.483Z,https://tollbit.rollingstone.com/,402,Returned 402,tollbit,false,false,1,1,377,,"[{""message"":""You are not authorized to access this content without a valid TollBit Token. Please follow this URL to find out more."",""url"":""https://tollbit.dev""}]",ad3a878239906aa8ba4180bf54ec755c4668335b2480141a1a090b7872192823,402,Charges (402),TollBit,Suing,Google (Penske),403,"{""detail"":""The content provider has disallowed access to this page."",""instance"":""/dev/v2/rates/https://rollingstone.com/"",""status"":403,""title"":""Forbidden"",""type"":""about:blank""}"
billboard.com,2026-08-19T17:29:31.163Z,https://tollbit.billboard.com/,402,Returned 402,tollbit,false,false,1,1,368,,"[{""message"":""You are not authorized to access this content without a valid TollBit Token. Please follow this URL to find out more."",""url"":""https://tollbit.dev""}]",ad3a878239906aa8ba4180bf54ec755c4668335b2480141a1a090b7872192823,402,Charges (402),TollBit,Suing,Google (Penske),403,"{""detail"":""The content provider has disallowed access to this page."",""instance"":""/dev/v2/rates/https://billboard.com/"",""status"":403,""title"":""Forbidden"",""type"":""about:blank""}"
deadline.com,2026-08-19T17:29:31.303Z,https://tollbit.deadline.com/,402,Returned 402,tollbit,false,false,1,1,387,,"[{""message"":""You are not authorized to access this content without a valid TollBit Token. Please follow this URL to find out more."",""url"":""https://tollbit.dev""}]",ad3a878239906aa8ba4180bf54ec755c4668335b2480141a1a090b7872192823,402,Charges (402),TollBit,Suing,Google (Penske),403,"{""detail"":""The content provider has disallowed access to this page."",""instance"":""/dev/v2/rates/https://deadline.com/"",""status"":403,""title"":""Forbidden"",""type"":""about:blank""}"
variety.com,2026-08-19T17:29:34.311Z,https://tollbit.variety.com/,402,Returned 402,tollbit,false,false,1,1,362,,"[{""message"":""You are not authorized to access this content without a valid TollBit Token. Please follow this URL to find out more."",""url"":""https://tollbit.dev""}]",ad3a878239906aa8ba4180bf54ec755c4668335b2480141a1a090b7872192823,402,Charges (402),TollBit,Suing,Google (Penske),403,"{""detail"":""The content provider has disallowed access to this page."",""instance"":""/dev/v2/rates/https://variety.com/"",""status"":403,""title"":""Forbidden"",""type"":""about:blank""}"
